timestamp,interface,state,ssid,bssid,signal_percent,channel,radio_type,authentication,cipher,receive_mbps,transmit_mbps
2026-08-08T22:15:17-05:00,Wi-Fi,connected,network-8fb9b11ba5,access-point-03e2d20a80,82,157,802.11ax,WPA2-Personal,CCMP,721.0,432.0
2026-08-08T22:15:22-05:00,Wi-Fi,connected,network-8fb9b11ba5,access-point-03e2d20a80,82,157,802.11ax,WPA2-Personal,CCMP,721.0,432.0
2026-08-08T22:16:06-05:00,Wi-Fi,connected,network-8fb9b11ba5,access-point-03e2d20a80,82,157,802.11ax,WPA2-Personal,CCMP,649.0,432.0
2026-08-08T22:16:16-05:00,Wi-Fi,connected,network-8fb9b11ba5,access-point-03e2d20a80,81,157,802.11ax,WPA2-Personal,CCMP,721.0,432.0
